command:	/home/icgc/WORK/adachi/TOOL/revisePckg/clone0308_callallSV/script/pe/detectGR -i .list.sam.tumor -l 1340 -ni .list.sam.normal -nl 1340 32
Job start:	20230524_19-53-27

log: normal_stp2rr-1/13	 [ filesize =	1422751 ] generated
log: tumor_stp2ff-4/13	 [ filesize =	4114525 ] generated
log: normal_stp2rf-5/16	 [ filesize =	658580 ] generated
log: normal_stp2fr-7/13	 [ filesize =	989468 ] generated
log: normal_stp2ff-6a/13	 [ filesize =	39434 ] generated
log: normal_stp2ff-6b/13	 [ filesize =	39321 ] generated
log: tumor_stp2rr-4/13	 [ filesize =	3999840 ] generated
log: tumor_stp2fr-3/13	 [ filesize =	3561059 ] generated
log: tumor_stp2ff-5/13	 [ filesize =	1091823 ] generated
log: normal_stp2rr-6a/13	 [ filesize =	36591 ] generated
log: tumor_stp2rf-4/16	 [ filesize =	3631950 ] generated
log: normal_stp2rr-6b/13	 [ filesize =	35955 ] generated
log: normal_stp2ff-7a/13	 [ filesize =	26664 ] generated
log: normal_stp2ff-7b/13	 [ filesize =	26473 ] generated
log: tumor_stp2rf-5/16	 [ filesize =	975700 ] generated
log: normal_stp2rf-6/16	 [ filesize =	75641 ] generated
log: normal_stp2rr-7a/13	 [ filesize =	25178 ] generated
log: normal_stp2rr-7b/13	 [ filesize =	24180 ] generated
log: tumor_stp2rr-5/13	 [ filesize =	1062991 ] generated
log: tumor_stp2fr-4/13	 [ filesize =	1059198 ] generated
log: tumor_stp2tr-3/28	 [ filesize =	6998310 ] generated
log: normal_stp2ff-8a/13	 [ filesize =	327186 ] generated
log: normal_stp2ff-8b/13	 [ filesize =	328913 ] generated
log: normal_stp2fr-8/13	 [ filesize =	497613 ] generated
log: tumor_stp2rf-6/16	 [ filesize =	115308 ] generated
log: normal_stp2rr-8a/13	 [ filesize =	292624 ] generated
log: normal_stp2rr-8b/13	 [ filesize =	293251 ] generated
log: normal_stp2tr-4/28	 [ filesize =	131824 ] generated
log: tumor_stp2fr-5/13	 [ filesize =	134128 ] generated
log: tumor_stp2rf-7/16	 [ filesize =	67443 ] generated
log: normal_stp2rf-7/16	 [ filesize =	46505 ] generated
log: tumor_stp2rr-6a/13	 [ filesize =	66716 ] generated
log: normal_stp2tr-5/28	 [ filesize =	13527 ] generated
log: tumor_stp2rr-6b/13	 [ filesize =	65639 ] generated
log: tumor_stp2fr-6/13	 [ filesize =	91675 ] generated
log: normal_stp2tr-6/28	 [ filesize =	11309 ] generated
log: normal_stp2rr-9a/13	 [ filesize =	295484 ] generated
log: normal_stp2rr-9b/13	 [ filesize =	296111 ] generated
log: normal_stp2fr-9/13	 [ filesize =	446664 ] generated
log: normal_stp2rf-8/16	 [ filesize =	649557 ] generated
log: normal_stp2fr-10/13	 [ filesize =	449226 ] generated
log: normal_stp2tr-7/28	 [ filesize =	129021 ] generated
log: normal_stp2ff-9a/13	 [ filesize =	330281 ] generated
log: normal_stp2ff-9b/13	 [ filesize =	331983 ] generated
log: tumor_stp2fr-7/13	 [ filesize =	1046049 ] generated
log: tumor_stp2rr-7a/13	 [ filesize =	42385 ] generated
log: tumor_stp2rf-8/16	 [ filesize =	962860 ] generated
log: tumor_stp2rr-7b/13	 [ filesize =	41070 ] generated
log: normal_stp2rr-10/13	 [ filesize =	591481 ] generated
log: tumor_stp2ff-6a/13	 [ filesize =	66310 ] generated
log: tumor_stp2ff-6b/13	 [ filesize =	67488 ] generated
log: normal_stp2ff-10/13	 [ filesize =	696892 ] generated
log: normal_stp2fr-11/13	 [ filesize =	805679 ] generated
log: normal_stp2rf-9/16	 [ filesize =	327500 ] generated
log: tumor_stp2rr-8a/13	 [ filesize =	523262 ] generated
log: tumor_stp2rr-8b/13	 [ filesize =	524492 ] generated
log: normal_stp2rr-11/13	 [ filesize =	591481 ] generated
log: normal_stp2rf-10/16	 [ filesize =	327974 ] generated
log: normal_stp2fr-12/13	 [ filesize =	711226 ] generated
log: normal_stp2ff-11/13	 [ filesize =	662187 ] generated
log: tumor_stp2ff-7a/13	 [ filesize =	41883 ] generated
log: normal_stp2rf-11/16	 [ filesize =	327817 ] generated
log: tumor_stp2ff-7b/13	 [ filesize =	42319 ] generated
log: normal_stp2tr-9/28	 [ filesize =	3846 ] generated
log: tumor_stp2fr-8/13	 [ filesize =	525832 ] generated
log: tumor_stp2rf-9/16	 [ filesize =	485393 ] generated
log: tumor_stp2tr-4/28	 [ filesize =	1880015 ] generated
log: tumor_stp2fr-9/13	 [ filesize =	526381 ] generated
log: normal_stp2ff-12/13	 [ filesize =	662187 ] generated
log: tumor_stp2rf-10/16	 [ filesize =	486018 ] generated
log: normal_stp2rr-12/13	 [ filesize =	591481 ] generated
log: normal_stp2ff-13/13	 [ filesize =	662187 ] generated
log: normal_stp2rf-12/16	 [ filesize =	327974 ] generated
log: normal_stp2rr-13/13	 [ filesize =	591481 ] generated
log: tumor_stp2fr-10/13	 [ filesize =	529698 ] generated
log: tumor_stp2ff-8a/13	 [ filesize =	536817 ] generated
log: tumor_stp2ff-8b/13	 [ filesize =	539635 ] generated
log: tumor_stp2rf-11/16	 [ filesize =	485928 ] generated
log: tumor_stp2rr-9a/13	 [ filesize =	528253 ] generated
log: tumor_stp2rr-9b/13	 [ filesize =	529483 ] generated
log: normal_stp2rf-13/16	 [ filesize =	327817 ] generated
log: tumor_stp2rf-12/16	 [ filesize =	486018 ] generated
log: tumor_stp2fr-11/13	 [ filesize =	1172130 ] generated
log: normal_stp2fr-12.5/13	 [ filesize =	711226 ] generated
log: tumor_stp2rf-13/16	 [ filesize =	485928 ] generated
log: normal_stp2fr-13/13	 [ filesize =	711226 ] generated
log: normal_stp2rf-14/16	 [ filesize =	654095 ] generated
log: tumor_stp2rr-10/13	 [ filesize =	1057562 ] generated
log: tumor_stp2fr-12/13	 [ filesize =	1031644 ] generated
log: tumor_stp2rf-14/16	 [ filesize =	971796 ] generated
log: normal_stp2rf-15/16	 [ filesize =	654095 ] generated
log: tumor_stp2rr-11/13	 [ filesize =	1057562 ] generated
log: tumor_stp2ff-9a/13	 [ filesize =	541855 ] generated
log: tumor_stp2ff-9b/13	 [ filesize =	544625 ] generated
log: tumor_stp2fr-12.5/13	 [ filesize =	1031688 ] generated
log: tumor_stp2rf-15/16	 [ filesize =	971796 ] generated
log: tumor_stp2tr-5/28	 [ filesize =	209007 ] generated
log: tumor_stp2rr-12/13	 [ filesize =	1057562 ] generated
log: tumor_stp2ff-10/13	 [ filesize =	1162806 ] generated
log: tumor_stp2fr-13/13	 [ filesize =	1031688 ] generated
log: tumor_stp2rr-13/13	 [ filesize =	1057562 ] generated
log: tumor_stp2ff-11/13	 [ filesize =	1086372 ] generated
log: normal_stp2rf-15.5/16	 [ filesize =	654095 ] generated
log: tumor_stp2tr-6/28	 [ filesize =	130974 ] generated
log: tumor_stp2rf-15.5/16	 [ filesize =	971796 ] generated
log: normal_stp2rf-16/16	 [ filesize =	654095 ] generated
log: tumor_stp2rf-16/16	 [ filesize =	971796 ] generated
log: tumor_stp2tr-7/28	 [ filesize =	1839389 ] generated
log: tumor_stp2ff-12/13	 [ filesize =	1086372 ] generated
log: tumor_stp2ff-13/13	 [ filesize =	1086372 ] generated
log: tumor_stp2tr-9/28	 [ filesize =	561009 ] generated
log: normal_stp2tr-8/28	 [ filesize =	62753 ] generated
log: normal_stp2tr-12/28	 [ filesize =	3124 ] generated
log: normal_stp2tr-13/28	 [ filesize =	0 ] generated
log: tumor_stp2tr-13/28	 [ filesize =	492533 ] generated
log: normal_stp2tr-10/28	 [ filesize =	62118 ] generated
log: tumor_stp2tr-8/28	 [ filesize =	407826 ] generated
log: normal_stp2tr-11/28	 [ filesize =	62328 ] generated
log: tumor_stp2tr-10/28	 [ filesize =	408375 ] generated
log: tumor_stp2tr-11/28	 [ filesize =	409542 ] generated
log: normal_stp2tr-17/28	 [ filesize =	0 ] generated
log: normal_stp2tr-14/28	 [ filesize =	3124 ] generated
log: tumor_stp2tr-12/28	 [ filesize =	561710 ] generated
log: normal_stp2tr-15/28	 [ filesize =	61358 ] generated
log: normal_stp2tr-25/28	 [ filesize =	0 ] generated
log: normal_stp2tr-16/28	 [ filesize =	61529 ] generated
log: normal_stp2tr-18/28	 [ filesize =	6236 ] generated
log: normal_stp2tr-22/28	 [ filesize =	122869 ] generated
log: normal_stp2tr-23/28	 [ filesize =	122869 ] generated
log: normal_stp2tr-26/28	 [ filesize =	0 ] generated
log: normal_stp2tr-19/28	 [ filesize =	3118 ] generated
log: normal_stp2tr-27/28	 [ filesize =	0 ] generated
log: normal_stp2tr-20/28	 [ filesize =	3118 ] generated
log: normal_stp2tr-27.5/28	 [ filesize =	0 ] generated
log: normal_stp2tr-23.5/28	 [ filesize =	122869 ] generated
log: normal_stp2tr-20.5/28	 [ filesize =	3118 ] generated
log: normal_stp2tr-28/28	 [ filesize =	0 ] generated
log: normal_stp2tr-21/28	 [ filesize =	3118 ] generated
log: normal_stp2tr-24/28	 [ filesize =	122869 ] generated
log: tumor_stp2tr-17/28	 [ filesize =	492533 ] generated
log: tumor_stp2tr-15/28	 [ filesize =	408375 ] generated
log: tumor_stp2tr-25/28	 [ filesize =	984922 ] generated
log: tumor_stp2tr-26/28	 [ filesize =	492461 ] generated
log: tumor_stp2tr-14/28	 [ filesize =	561710 ] generated
log: tumor_stp2tr-27/28	 [ filesize =	492461 ] generated
log: tumor_stp2tr-18/28	 [ filesize =	1335740 ] generated
log: tumor_stp2tr-27.5/28	 [ filesize =	492461 ] generated
log: tumor_stp2tr-28/28	 [ filesize =	492461 ] generated
log: tumor_stp2tr-19/28	 [ filesize =	667870 ] generated
log: tumor_stp2tr-20/28	 [ filesize =	561669 ] generated
log: tumor_stp2tr-16/28	 [ filesize =	409542 ] generated
log: tumor_stp2tr-20.5/28	 [ filesize =	561669 ] generated
log: tumor_stp2tr-22/28	 [ filesize =	817785 ] generated
log: tumor_stp2tr-21/28	 [ filesize =	561669 ] generated
log: tumor_stp2tr-23/28	 [ filesize =	817785 ] generated
log: tumor_stp2tr-23.5/28	 [ filesize =	817785 ] generated
log: tumor_stp2tr-24/28	 [ filesize =	817785 ] generated
log: normal_stp3cluster-1/7	 [	31 cluster,	filesize =	371771 ] generated
log: normal_stp3cluster-2/7	 [	10 cluster,	filesize =	411050 ] generated
log: tumor_stp3cluster-1/7	 [	16 cluster,	filesize =	549188 ] generated
log: normal_stp3cluster-3/7	 [	11 cluster,	filesize =	361324 ] generated
log: tumor_stp3cluster-2/7	 [	11 cluster,	filesize =	415894 ] generated
log: normal_stp3cluster-4/7	 [	12 cluster,	filesize =	433011 ] generated
log: normal_stp3cluster-5/7	 [	2 cluster,	filesize =	82885 ] generated
log: tumor_stp3cluster-3/7	 [	16 cluster,	filesize =	619093 ] generated
log: normal_stp3cluster-6/7	 [	1 cluster,	filesize =	3118 ] generated
log: tumor_stp3cluster-4/7	 [	14 cluster,	filesize =	539047 ] generated
log: normal_stp3cluster-7/7	 [	0 cluster,	filesize =	0 ] generated
log: tumor_stp3cluster-5/7	 [	17 cluster,	filesize =	615143 ] generated
log: tumor_stp3cluster-6/7	 [	11 cluster,	filesize =	404942 ] generated
log: tumor_stp3cluster-7/7	 [	11 cluster,	filesize =	446500 ] generated
log: tumor_stp4del-1/13	 [ filesize =	112798 ] generated
log: tumor_stp4trans_fr-1/10	 [ filesize =	112660 ] generated
log: tumor_stp4tdm-1/13	 [ filesize =	93507 ] generated
log: tumor_stp4trans_rr-1/10	 [ filesize =	80967 ] generated
log: tumor_stp4trans_ff-1/10	 [ filesize =	90362 ] generated
log: tumor_stp4inv-1/20	 [ filesize =	55672 ] generated
log: tumor_stp4del-2/13	 [	52 cluster,	filesize =	3146 ] generated
log: tumor_stp4del-3/13	 [	38 cluster,	filesize =	2306 ] generated
log: tumor_stp4trans_fr-2/10	 [	19 cluster,	filesize =	1128 ] generated
log: tumor_stp4tdm-2/13	 [	25 cluster,	filesize =	1500 ] generated
log: tumor_stp4tdm-3/13	 [	7 cluster,	filesize =	420 ] generated
log: tumor_stp4del-4/13	 [	38 cluster,	filesize =	2306 ] generated
log: tumor_stp4trans_rr-2/10	 [	12 cluster,	filesize =	720 ] generated
log: tumor_stp4del-5/13	 [	38 cluster,	filesize =	488707 ] generated
log: tumor_stp4trans_fr-3/10	 [	19 cluster,	filesize =	683827 ] generated
log: tumor_stp4trans_ff-2/10	 [	14 cluster,	filesize =	832 ] generated
log: tumor_stp4trans_rr-3/10	 [	1366 cluster,	filesize =	492461 ] generated
log: tumor_stp4trans_ff-3/10	 [	14 cluster,	filesize =	549073 ] generated
log: tumor_stp4inv-2/20	 [ filesize =	68948 ] generated
log: tumor_stp4trans_fr-4/10	 [	19 cluster,	filesize =	1146 ] generated
log: tumor_stp4del-6/13	 [	8 cluster,	filesize =	523 ] generated
log: tumor_stp4trans_ff-4/10	 [	14 cluster,	filesize =	846 ] generated
log: tumor_stp4del-7/13	 [	8 cluster,	filesize =	523 ] generated
log: tumor_stp4tdm-4/13	 [	7 cluster,	filesize =	420 ] generated
log: tumor_stp4trans_ff-5/10	 [	14 cluster,	filesize =	549073 ] generated
log: tumor_stp4trans_rr-4/10	 [	12 cluster,	filesize =	732 ] generated
log: tumor_stp4del-8/13	 [	8 cluster,	filesize =	265590 ] generated
log: tumor_stp4tdm-5/13	 [	7 cluster,	filesize =	240419 ] generated
log: tumor_stp4trans_fr-5/10	 [	19 cluster,	filesize =	683827 ] generated
log: tumor_stp4trans_rr-5/10	 [	12 cluster,	filesize =	492461 ] generated
log: tumor_stp4trans_ff-6/10	 [	14 cluster,	filesize =	549073 ] generated
log: tumor_stp4del-9/13	 [	8 cluster,	filesize =	265590 ] generated
log: tumor_stp4trans_fr-6/10	 [	19 cluster,	filesize =	683827 ] generated
log: tumor_stp4del-10/13	 [	8 cluster,	filesize =	265590 ] generated
log: tumor_stp4trans_ff-7/10	 [	14 cluster,	filesize =	549073 ] generated
log: tumor_stp4trans_fr-7/10	 [	19 cluster,	filesize =	683827 ] generated
log: tumor_stp4trans_rr-6/10	 [	12 cluster,	filesize =	492461 ] generated
log: tumor_stp4tdm-6/13	 [	7 cluster,	filesize =	464 ] generated
log: tumor_stp4trans_rr-7/10	 [	12 cluster,	filesize =	492461 ] generated
log: tumor_stp4del-11/13	 [	7 cluster,	filesize =	262596 ] generated
log: tumor_stp4tdm-7/13	 [	7 cluster,	filesize =	464 ] generated
log: tumor_stp4trans_fr-8/10	 [	16 cluster,	filesize =	569265 ] generated
log: tumor_stp4trans_ff-8/10	 [	10 cluster,	filesize =	392346 ] generated
log: tumor_stp4tdm-8/13	 [	7 cluster,	filesize =	240419 ] generated
log: tumor_stp4inv-3/20	 [	55 cluster,	filesize =	3298 ] generated
log: tumor_stp4inv-4/20	 [	19 cluster,	filesize =	1138 ] generated
log: tumor_stp4trans_rr-8/10	 [	11 cluster,	filesize =	446500 ] generated
log: tumor_stp4tdm-9/13	 [	7 cluster,	filesize =	240419 ] generated
log: tumor_stp4tdm-10/13	 [	7 cluster,	filesize =	240419 ] generated
log: tumor_stp4trans_ff-9/10	 [	14 cluster,	filesize =	549073 ] generated
log: tumor_stp4del-12/13	 [	8 cluster,	filesize =	265590 ] generated
log: tumor_stp4trans_fr-9/10	 [	19 cluster,	filesize =	683827 ] generated
log: tumor_stp4trans_rr-9/10	 [	12 cluster,	filesize =	492461 ] generated
log: tumor_stp4inv-5/20	 [	9 cluster,	filesize =	540 ] generated
log: tumor_stp4inv-6/20	 [	10 cluster,	filesize =	598 ] generated
log: tumor_stp4inv-7/20	 [	9 cluster,	filesize =	295754 ] generated
log: tumor_stp4inv-8/20	 [	10 cluster,	filesize =	381436 ] generated
log: tumor_stp4trans_fr-10/10	 [ filesize =	112660 ] generated
log: tumor_stp4trans_rr-10/10	 [ filesize =	80967 ] generated
log: tumor_stp4trans_ff-10/10	 [ filesize =	90362 ] generated
log: tumor_stp4del-13/13	 [ filesize =	26575 ] generated
log: tumor_stp4inv-9/20	 [	9 cluster,	filesize =	584 ] generated
log: tumor_stp4tdm-11/13	 [	3 cluster,	filesize =	108211 ] generated
log: tumor_stp4inv-10/20	 [	10 cluster,	filesize =	652 ] generated
log: tumor_stp4tdm-12/13	 [	7 cluster,	filesize =	240419 ] generated
log: tumor_stp4inv-11/20	 [	9 cluster,	filesize =	295754 ] generated
log: tumor_stp4inv-12/20	 [	10 cluster,	filesize =	381436 ] generated
log: tumor_stp4inv-13/20	 [	9 cluster,	filesize =	295754 ] generated
log: tumor_stp4inv-14/20	 [	10 cluster,	filesize =	381436 ] generated
log: tumor_stp4tdm-13/13	 [ filesize =	93507 ] generated
log: tumor_stp4inv-15/20	 [	5 cluster,	filesize =	173709 ] generated
log: tumor_stp4inv-16/20	 [	5 cluster,	filesize =	173709 ] generated
log: tumor_stp4inv-17/20	 [	9 cluster,	filesize =	295754 ] generated
log: tumor_stp4inv-18/20	 [	10 cluster,	filesize =	381436 ] generated
log: tumor_stp4inv-19/20	 [ filesize =	55672 ] generated
log: tumor_stp4inv-20/20	 [ filesize =	68948 ] generated
log: tumor_stp5-1/5	 [	79 cluster,	filesize =	11323 ] generated
log: tumor_stp5-2/5	 [	79 cluster,	filesize =	10552 ] generated
log: tumor_stp5-3/5	 [	79 cluster,	filesize =	10552 ] generated
log: tumor_stp5-4/5	 [	79 cluster,	filesize =	8999 ] generated
log: tumor_stp5-5/5	 [	79 cluster,	filesize =	7585 ] generated
