command:	/home/icgc/WORK/adachi/TOOL/callallSV/script/pe/detectGR -i .list.sam.tumor -l 1510 -ni .list.sam.normal -nl 1410 32
Job start:	20230303_11-59-13

log: tumor_stp2fr-1/13	 [ filesize =	1178957 ] generated
log: tumor_stp2fr-8/13	 [ filesize =	331573 ] generated
log: normal_stp2rf-8/16	 [ filesize =	975806 ] generated
log: normal_stp2fr-6/13	 [ filesize =	44506 ] generated
log: tumor_stp2tr-3/28	 [ filesize =	10639464 ] generated
log: tumor_stp2rr-6a/13	 [ filesize =	98585 ] generated
log: tumor_stp2rr-6b/13	 [ filesize =	90427 ] generated
log: normal_stp2rf-9/16	 [ filesize =	491496 ] generated
log: normal_stp2fr-7/13	 [ filesize =	144529 ] generated
log: normal_stp2rf-10/16	 [ filesize =	32731 ] generated
log: tumor_stp2rr-7a/13	 [ filesize =	91480 ] generated
log: tumor_stp2rr-7b/13	 [ filesize =	83490 ] generated
log: normal_stp2rf-11/16	 [ filesize =	33505 ] generated
log: tumor_stp2rf-4/16	 [ filesize =	2624761 ] generated
log: tumor_stp2ff-9a/13	 [ filesize =	141282 ] generated
log: normal_stp2rf-12/16	 [ filesize =	18296 ] generated
log: tumor_stp2ff-9b/13	 [ filesize =	142391 ] generated
log: normal_stp2rr-9a/13	 [ filesize =	10909 ] generated
log: normal_stp2rr-9b/13	 [ filesize =	9373 ] generated
log: tumor_stp2rf-5/16	 [ filesize =	2364224 ] generated
log: normal_stp2fr-8/13	 [ filesize =	72848 ] generated
log: normal_stp2rr-10/13	 [ filesize =	8357 ] generated
log: tumor_stp2ff-10/13	 [ filesize =	259134 ] generated
log: tumor_stp2fr-9/13	 [ filesize =	278081 ] generated
log: normal_stp2fr-9/13	 [ filesize =	41252 ] generated
log: normal_stp2fr-10/13	 [ filesize =	40466 ] generated
log: tumor_stp2fr-10/13	 [ filesize =	276405 ] generated
log: normal_stp2fr-11/13	 [ filesize =	50589 ] generated
log: tumor_stp2fr-11/13	 [ filesize =	513725 ] generated
log: normal_stp2fr-12/13	 [ filesize =	50589 ] generated
log: tumor_stp2ff-11/13	 [ filesize =	250673 ] generated
log: tumor_stp2fr-12/13	 [ filesize =	512606 ] generated
log: tumor_stp2rf-6/16	 [ filesize =	654155 ] generated
log: normal_stp2rf-13/16	 [ filesize =	18727 ] generated
log: normal_stp2rf-14/16	 [ filesize =	23421 ] generated
log: normal_stp2rf-15/16	 [ filesize =	23421 ] generated
log: normal_stp2rr-11/13	 [ filesize =	8357 ] generated
log: tumor_stp2tr-4/28	 [ filesize =	9539526 ] generated
log: tumor_stp2rf-7/16	 [ filesize =	619954 ] generated
log: normal_stp2ff-8a/13	 [ filesize =	55890 ] generated
log: normal_stp2ff-8b/13	 [ filesize =	58420 ] generated
log: tumor_stp2tr-5/28	 [ filesize =	3027974 ] generated
log: normal_stp2ff-9a/13	 [ filesize =	7272 ] generated
log: normal_stp2ff-9b/13	 [ filesize =	8247 ] generated
log: normal_stp2ff-10/13	 [ filesize =	3169 ] generated
log: normal_stp2ff-11/13	 [ filesize =	3169 ] generated
log: tumor_stp2rr-8a/13	 [ filesize =	298469 ] generated
log: tumor_stp2rr-8b/13	 [ filesize =	290398 ] generated
log: normal_stp2rf-15.5/16	 [ filesize =	23421 ] generated
log: tumor_stp2rr-9a/13	 [ filesize =	147455 ] generated
log: tumor_stp2rr-9b/13	 [ filesize =	145662 ] generated
log: tumor_stp2fr-12.5/13	 [ filesize =	512606 ] generated
log: tumor_stp2rr-10/13	 [ filesize =	300294 ] generated
log: tumor_stp2rr-11/13	 [ filesize =	269404 ] generated
log: normal_stp2rr-12/13	 [ filesize =	8357 ] generated
log: tumor_stp2ff-12/13	 [ filesize =	250673 ] generated
log: tumor_stp2fr-13/13	 [ filesize =	512606 ] generated
log: normal_stp2rr-13/13	 [ filesize =	8357 ] generated
log: tumor_stp2ff-13/13	 [ filesize =	250673 ] generated
log: tumor_stp2tr-6/28	 [ filesize =	3084207 ] generated
log: normal_stp2fr-12.5/13	 [ filesize =	50589 ] generated
log: normal_stp2ff-12/13	 [ filesize =	3169 ] generated
log: normal_stp2fr-13/13	 [ filesize =	50589 ] generated
log: normal_stp2ff-13/13	 [ filesize =	3169 ] generated
log: tumor_stp2tr-7/28	 [ filesize =	9389994 ] generated
log: tumor_stp2rr-12/13	 [ filesize =	269404 ] generated
log: tumor_stp2rr-13/13	 [ filesize =	269404 ] generated
log: tumor_stp2tr-9/28	 [ filesize =	2281160 ] generated
log: normal_stp2rf-16/16	 [ filesize =	23421 ] generated
log: tumor_stp2rf-8/16	 [ filesize =	2345702 ] generated
log: normal_stp2tr-1/28	 [ filesize =	25889041 ] generated
log: normal_stp2tr-2/28	 [ filesize =	4648912 ] generated
log: normal_stp2tr-3/28	 [ filesize =	3539844 ] generated
log: tumor_stp2rf-9/16	 [ filesize =	1181926 ] generated
log: tumor_stp2rf-10/16	 [ filesize =	265584 ] generated
log: tumor_stp2rf-11/16	 [ filesize =	264314 ] generated
log: tumor_stp2rf-12/16	 [ filesize =	194616 ] generated
log: tumor_stp2rf-13/16	 [ filesize =	192103 ] generated
log: tumor_stp2rf-14/16	 [ filesize =	383608 ] generated
log: tumor_stp2rf-15/16	 [ filesize =	353158 ] generated
log: tumor_stp2rf-15.5/16	 [ filesize =	353158 ] generated
log: tumor_stp2rf-16/16	 [ filesize =	353158 ] generated
log: normal_stp2tr-4/28	 [ filesize =	3162591 ] generated
log: normal_stp2tr-5/28	 [ filesize =	1039230 ] generated
log: normal_stp2tr-6/28	 [ filesize =	1072275 ] generated
log: normal_stp2tr-7/28	 [ filesize =	3113055 ] generated
log: normal_stp2tr-9/28	 [ filesize =	756079 ] generated
log: normal_stp2tr-12/28	 [ filesize =	15823 ] generated
log: normal_stp2tr-14/28	 [ filesize =	0 ] generated
log: normal_stp2tr-13/28	 [ filesize =	47103 ] generated
log: normal_stp2tr-18/28	 [ filesize =	0 ] generated
log: normal_stp2tr-17/28	 [ filesize =	0 ] generated
log: normal_stp2tr-25/28	 [ filesize =	0 ] generated
log: normal_stp2tr-19/28	 [ filesize =	0 ] generated
log: normal_stp2tr-20/28	 [ filesize =	0 ] generated
log: normal_stp2tr-20.5/28	 [ filesize =	0 ] generated
log: normal_stp2tr-26/28	 [ filesize =	0 ] generated
log: normal_stp2tr-27/28	 [ filesize =	0 ] generated
log: normal_stp2tr-8/28	 [ filesize =	790798 ] generated
log: normal_stp2tr-21/28	 [ filesize =	0 ] generated
log: tumor_stp2tr-12/28	 [ filesize =	189760 ] generated
log: normal_stp2tr-10/28	 [ filesize =	31352 ] generated
log: tumor_stp2tr-13/28	 [ filesize =	299430 ] generated
log: normal_stp2tr-11/28	 [ filesize =	65479 ] generated
log: normal_stp2tr-15/28	 [ filesize =	1504 ] generated
log: tumor_stp2tr-14/28	 [ filesize =	70857 ] generated
log: tumor_stp2tr-18/28	 [ filesize =	153596 ] generated
log: normal_stp2tr-16/28	 [ filesize =	1662 ] generated
log: normal_stp2tr-22/28	 [ filesize =	3160 ] generated
log: tumor_stp2tr-19/28	 [ filesize =	76798 ] generated
log: normal_stp2tr-23/28	 [ filesize =	3160 ] generated
log: tumor_stp2tr-20/28	 [ filesize =	70839 ] generated
log: normal_stp2tr-23.5/28	 [ filesize =	3160 ] generated
log: tumor_stp2tr-20.5/28	 [ filesize =	70839 ] generated
log: tumor_stp2tr-17/28	 [ filesize =	138573 ] generated
log: tumor_stp2tr-25/28	 [ filesize =	287704 ] generated
log: tumor_stp2tr-26/28	 [ filesize =	143852 ] generated
log: tumor_stp2tr-21/28	 [ filesize =	70839 ] generated
log: tumor_stp2tr-27/28	 [ filesize =	138518 ] generated
log: tumor_stp2tr-27.5/28	 [ filesize =	138518 ] generated
log: tumor_stp2tr-28/28	 [ filesize =	138518 ] generated
log: tumor_stp2tr-8/28	 [ filesize =	2382660 ] generated
log: tumor_stp2tr-10/28	 [ filesize =	242328 ] generated
log: normal_stp2tr-27.5/28	 [ filesize =	0 ] generated
log: normal_stp2tr-28/28	 [ filesize =	0 ] generated
log: normal_stp2tr-24/28	 [ filesize =	3160 ] generated
log: tumor_stp2tr-11/28	 [ filesize =	260289 ] generated
log: tumor_stp2tr-15/28	 [ filesize =	108916 ] generated
log: tumor_stp2tr-16/28	 [ filesize =	111080 ] generated
log: tumor_stp2tr-22/28	 [ filesize =	223083 ] generated
log: tumor_stp2tr-23/28	 [ filesize =	219858 ] generated
log: tumor_stp2tr-23.5/28	 [ filesize =	219858 ] generated
log: tumor_stp2tr-24/28	 [ filesize =	219858 ] generated
log: normal_stp3cluster-1/7	 [	9 cluster,	filesize =	47569 ] generated
log: normal_stp3cluster-2/7	 [	1 cluster,	filesize =	3169 ] generated
log: normal_stp3cluster-3/7	 [	2 cluster,	filesize =	8357 ] generated
log: normal_stp3cluster-4/7	 [	2 cluster,	filesize =	11282 ] generated
log: normal_stp3cluster-5/7	 [	1 cluster,	filesize =	3160 ] generated
log: normal_stp3cluster-6/7	 [	0 cluster,	filesize =	0 ] generated
log: normal_stp3cluster-7/7	 [	0 cluster,	filesize =	0 ] generated
log: tumor_stp3cluster-1/7	 [	23 cluster,	filesize =	304515 ] generated
log: tumor_stp3cluster-2/7	 [	13 cluster,	filesize =	182688 ] generated
log: tumor_stp3cluster-3/7	 [	10 cluster,	filesize =	75317 ] generated
log: tumor_stp3cluster-4/7	 [	15 cluster,	filesize =	182019 ] generated
log: tumor_stp3cluster-5/7	 [	17 cluster,	filesize =	163337 ] generated
log: tumor_stp3cluster-6/7	 [	4 cluster,	filesize =	56146 ] generated
log: tumor_stp3cluster-7/7	 [	6 cluster,	filesize =	80838 ] generated
log: tumor_stp4trans_fr-1/10	 [ filesize =	35461 ] generated
log: tumor_stp4del-1/13	 [ filesize =	278136 ] generated
log: tumor_stp4inv-1/20	 [ filesize =	213251 ] generated
log: tumor_stp4trans_rr-1/10	 [ filesize =	21992 ] generated
log: tumor_stp4tdm-1/13	 [ filesize =	200964 ] generated
log: tumor_stp4trans_ff-1/10	 [ filesize =	11382 ] generated
log: tumor_stp4inv-2/20	 [ filesize =	91497 ] generated
log: tumor_stp4del-2/13	 [	30 cluster,	filesize =	1802 ] generated
log: tumor_stp4del-3/13	 [	22 cluster,	filesize =	1322 ] generated
log: tumor_stp4tdm-2/13	 [	30 cluster,	filesize =	1792 ] generated
log: tumor_stp4tdm-3/13	 [	25 cluster,	filesize =	1496 ] generated
log: tumor_stp4trans_fr-2/10	 [	27 cluster,	filesize =	1605 ] generated
log: tumor_stp4del-4/13	 [	22 cluster,	filesize =	1322 ] generated
log: tumor_stp4trans_fr-3/10	 [	27 cluster,	filesize =	219858 ] generated
log: tumor_stp4del-5/13	 [	22 cluster,	filesize =	305500 ] generated
log: tumor_stp4inv-3/20	 [	47 cluster,	filesize =	2820 ] generated
log: tumor_stp4inv-4/20	 [	45 cluster,	filesize =	2700 ] generated
log: tumor_stp4trans_ff-2/10	 [	7 cluster,	filesize =	417 ] generated
log: tumor_stp4trans_fr-4/10	 [	27 cluster,	filesize =	1615 ] generated
log: tumor_stp4del-6/13	 [	22 cluster,	filesize =	1445 ] generated
log: tumor_stp4trans_ff-3/10	 [	7 cluster,	filesize =	70839 ] generated
log: tumor_stp4del-7/13	 [	22 cluster,	filesize =	1445 ] generated
log: tumor_stp4trans_ff-4/10	 [	7 cluster,	filesize =	419 ] generated
log: tumor_stp4inv-5/20	 [	20 cluster,	filesize =	1200 ] generated
log: tumor_stp4trans_rr-2/10	 [	13 cluster,	filesize =	777 ] generated
log: tumor_stp4trans_fr-5/10	 [	27 cluster,	filesize =	219858 ] generated
log: tumor_stp4tdm-4/13	 [	25 cluster,	filesize =	1496 ] generated
log: tumor_stp4inv-6/20	 [	25 cluster,	filesize =	1500 ] generated
log: tumor_stp4trans_ff-5/10	 [	7 cluster,	filesize =	70839 ] generated
log: tumor_stp4del-8/13	 [	22 cluster,	filesize =	305500 ] generated
log: tumor_stp4tdm-5/13	 [	25 cluster,	filesize =	285918 ] generated
log: tumor_stp4trans_rr-3/10	 [	395 cluster,	filesize =	138518 ] generated
log: tumor_stp4inv-7/20	 [	20 cluster,	filesize =	250673 ] generated
log: tumor_stp4inv-8/20	 [	25 cluster,	filesize =	262517 ] generated
log: tumor_stp4trans_fr-6/10	 [	27 cluster,	filesize =	219858 ] generated
log: tumor_stp4del-9/13	 [	22 cluster,	filesize =	305500 ] generated
log: tumor_stp4del-10/13	 [	22 cluster,	filesize =	305500 ] generated
log: tumor_stp4tdm-6/13	 [	25 cluster,	filesize =	1635 ] generated
log: tumor_stp4trans_ff-6/10	 [	7 cluster,	filesize =	70839 ] generated
log: tumor_stp4tdm-7/13	 [	25 cluster,	filesize =	1635 ] generated
log: tumor_stp4tdm-8/13	 [	25 cluster,	filesize =	285918 ] generated
log: tumor_stp4trans_ff-7/10	 [	7 cluster,	filesize =	70839 ] generated
log: tumor_stp4trans_fr-7/10	 [	27 cluster,	filesize =	219858 ] generated
log: tumor_stp4del-11/13	 [	17 cluster,	filesize =	234642 ] generated
log: tumor_stp4trans_rr-4/10	 [	13 cluster,	filesize =	782 ] generated
log: tumor_stp4trans_rr-5/10	 [	13 cluster,	filesize =	138518 ] generated
log: tumor_stp4inv-9/20	 [	20 cluster,	filesize =	1319 ] generated
log: tumor_stp4tdm-9/13	 [	25 cluster,	filesize =	285918 ] generated
log: tumor_stp4tdm-10/13	 [	25 cluster,	filesize =	285918 ] generated
log: tumor_stp4trans_rr-6/10	 [	13 cluster,	filesize =	138518 ] generated
log: tumor_stp4tdm-11/13	 [	13 cluster,	filesize =	172270 ] generated
log: tumor_stp4trans_rr-7/10	 [	13 cluster,	filesize =	138518 ] generated
log: tumor_stp4inv-10/20	 [	25 cluster,	filesize =	1625 ] generated
log: tumor_stp4trans_fr-8/10	 [	17 cluster,	filesize =	163337 ] generated
log: tumor_stp4del-12/13	 [	22 cluster,	filesize =	305500 ] generated
log: tumor_stp4trans_rr-8/10	 [	6 cluster,	filesize =	80838 ] generated
log: tumor_stp4inv-11/20	 [	20 cluster,	filesize =	250673 ] generated
log: tumor_stp4inv-12/20	 [	25 cluster,	filesize =	262517 ] generated
log: tumor_stp4tdm-12/13	 [	25 cluster,	filesize =	285918 ] generated
log: tumor_stp4inv-13/20	 [	20 cluster,	filesize =	250673 ] generated
log: tumor_stp4inv-14/20	 [	25 cluster,	filesize =	262517 ] generated
log: tumor_stp4trans_ff-8/10	 [	4 cluster,	filesize =	56146 ] generated
log: tumor_stp4trans_rr-9/10	 [	13 cluster,	filesize =	138518 ] generated
log: tumor_stp4trans_ff-9/10	 [	7 cluster,	filesize =	70839 ] generated
log: tumor_stp4del-13/13	 [ filesize =	227267 ] generated
log: tumor_stp4inv-15/20	 [	13 cluster,	filesize =	182688 ] generated
log: tumor_stp4inv-16/20	 [	13 cluster,	filesize =	182688 ] generated
log: tumor_stp4tdm-13/13	 [ filesize =	200964 ] generated
log: tumor_stp4trans_fr-9/10	 [	27 cluster,	filesize =	219858 ] generated
log: tumor_stp4trans_rr-10/10	 [ filesize =	21992 ] generated
log: tumor_stp4trans_ff-10/10	 [ filesize =	11382 ] generated
log: tumor_stp4inv-17/20	 [	20 cluster,	filesize =	250673 ] generated
log: tumor_stp4inv-18/20	 [	25 cluster,	filesize =	262517 ] generated
log: tumor_stp4trans_fr-10/10	 [ filesize =	35461 ] generated
log: tumor_stp4inv-19/20	 [ filesize =	213251 ] generated
log: tumor_stp4inv-20/20	 [ filesize =	91497 ] generated
log: tumor_stp5-1/5	 [	139 cluster,	filesize =	21713 ] generated
log: tumor_stp5-2/5	 [	139 cluster,	filesize =	21122 ] generated
log: tumor_stp5-3/5	 [	139 cluster,	filesize =	21122 ] generated
log: tumor_stp5-4/5	 [	139 cluster,	filesize =	16509 ] generated
log: tumor_stp5-5/5	 [	139 cluster,	filesize =	13691 ] generated
